"date","ni","day"
2021-03-10,2907,"Wed"
2021-03-11,3516,"Thu"
2021-03-12,3669,"Fri"
2021-03-13,54,"Sat"
2021-03-14,0,NA
2021-03-15,4328,"Mon"
2021-03-16,3435,"Tue"
2021-03-17,2560,"Wed"
2021-03-18,2722,"Thu"
2021-03-19,3177,"Fri"
2021-03-20,1,"Sat"
2021-03-21,1896,"Sun"
2021-03-22,3535,"Mon"
2021-03-23,2776,"Tue"
2021-03-24,3266,"Wed"
2021-03-25,2603,"Thu"
2021-03-26,3282,"Fri"
2021-03-27,0,NA
2021-03-28,2067,"Sun"
2021-03-29,4164,"Mon"
2021-03-30,2987,"Tue"
2021-03-31,3125,"Wed"
2021-04-01,3149,"Thu"
2021-04-02,0,NA
2021-04-03,3269,"Sat"
2021-04-04,0,NA
2021-04-05,0,NA
2021-04-06,3568,"Tue"
2021-04-07,3645,"Wed"
2021-04-08,4121,"Thu"
2021-04-09,3539,"Fri"
2021-04-10,0,NA
2021-04-11,0,NA
2021-04-12,3233,"Mon"
2021-04-13,2655,"Tue"
2021-04-14,3627,"Wed"
2021-04-15,3461,"Thu"
2021-04-16,3100,"Fri"
2021-04-17,0,NA
2021-04-18,0,NA
2021-04-19,4035,"Mon"
2021-04-20,2481,"Tue"
2021-04-21,2804,"Wed"
2021-04-22,2541,"Thu"
2021-04-23,2735,"Fri"
2021-04-24,0,NA
2021-04-25,0,NA
2021-04-26,3665,"Mon"
2021-04-27,3472,"Tue"
2021-04-28,3210,"Wed"
2021-04-29,2977,"Thu"
2021-04-30,2483,"Fri"
