"date","ni","day"
2021-02-19,2963,"Fri"
2021-02-20,0,NA
2021-02-21,0,NA
2021-02-22,3201,"Mon"
2021-02-23,3004,"Tue"
2021-02-24,3923,"Wed"
2021-02-25,3968,"Thu"
2021-02-26,2940,"Fri"
2021-02-27,2902,"Sat"
2021-02-28,0,NA
2021-03-01,3445,"Mon"
2021-03-02,3499,"Tue"
2021-03-03,3234,"Wed"
2021-03-04,2860,"Thu"
2021-03-05,3242,"Fri"
2021-03-06,0,NA
2021-03-07,0,NA
2021-03-08,3762,"Mon"
2021-03-09,2878,"Tue"
2021-03-10,2873,"Wed"
2021-03-11,3454,"Thu"
2021-03-12,3623,"Fri"
2021-03-13,54,"Sat"
2021-03-14,1,"Sun"
2021-03-15,4257,"Mon"
2021-03-16,3370,"Tue"
2021-03-17,2525,"Wed"
2021-03-18,2686,"Thu"
2021-03-19,3140,"Fri"
2021-03-20,2,"Sat"
2021-03-21,1862,"Sun"
2021-03-22,3483,"Mon"
2021-03-23,2735,"Tue"
2021-03-24,3212,"Wed"
2021-03-25,2568,"Thu"
2021-03-26,3256,"Fri"
2021-03-27,0,NA
2021-03-28,2014,"Sun"
2021-03-29,4096,"Mon"
2021-03-30,2947,"Tue"
2021-03-31,3100,"Wed"
2021-04-01,3134,"Thu"
2021-04-02,0,NA
2021-04-03,3235,"Sat"
2021-04-04,0,NA
2021-04-05,1,"Mon"
2021-04-06,3523,"Tue"
2021-04-07,3602,"Wed"
2021-04-08,4072,"Thu"
2021-04-09,3505,"Fri"
2021-04-10,0,NA
2021-04-11,0,NA
2021-04-12,3204,"Mon"
2021-04-13,2610,"Tue"
2021-04-14,3581,"Wed"
2021-04-15,3416,"Thu"
2021-04-16,3077,"Fri"
2021-04-17,0,NA
2021-04-18,0,NA
2021-04-19,3989,"Mon"
2021-04-20,2451,"Tue"
2021-04-21,2781,"Wed"
2021-04-22,2523,"Thu"
2021-04-23,2704,"Fri"
2021-04-24,0,NA
2021-04-25,0,NA
2021-04-26,3639,"Mon"
2021-04-27,3442,"Tue"
2021-04-28,3174,"Wed"
2021-04-29,2963,"Thu"
2021-04-30,2470,"Fri"
2021-05-01,15,"Sat"
2021-05-02,0,NA
2021-05-03,2292,"Mon"
2021-05-04,3798,"Tue"
2021-05-05,2866,"Wed"
2021-05-06,2474,"Thu"
2021-05-07,2465,"Fri"
2021-05-08,0,NA
2021-05-09,0,NA
2021-05-10,3034,"Mon"
2021-05-11,3850,"Tue"
2021-05-12,2985,"Wed"
2021-05-13,3202,"Thu"
2021-05-14,4434,"Fri"
2021-05-15,304,"Sat"
2021-05-16,1943,"Sun"
2021-05-17,3221,"Mon"
2021-05-18,2633,"Tue"
2021-05-19,2373,"Wed"
2021-05-20,2969,"Thu"
2021-05-21,2362,"Fri"
2021-05-22,0,NA
2021-05-23,0,NA
2021-05-24,3405,"Mon"
2021-05-25,2655,"Tue"
2021-05-26,3070,"Wed"
2021-05-27,2873,"Thu"
2021-05-28,2743,"Fri"
2021-05-29,0,NA
2021-05-30,0,NA
2021-05-31,1552,"Mon"
2021-06-01,3339,"Tue"
2021-06-02,2576,"Wed"
2021-06-03,2501,"Thu"
2021-06-04,2346,"Fri"
2021-06-05,0,NA
2021-06-06,0,NA
2021-06-07,3736,"Mon"
2021-06-08,2852,"Tue"
2021-06-09,2483,"Wed"
2021-06-10,2861,"Thu"
2021-06-11,2204,"Fri"
2021-06-12,0,NA
2021-06-13,0,NA
2021-06-14,2983,"Mon"
2021-06-15,3019,"Tue"
2021-06-16,2452,"Wed"
2021-06-17,2620,"Thu"
2021-06-18,2767,"Fri"
2021-06-19,228,"Sat"
2021-06-20,270,"Sun"
2021-06-21,3450,"Mon"
2021-06-22,2355,"Tue"
2021-06-23,2231,"Wed"
2021-06-24,2346,"Thu"
2021-06-25,2727,"Fri"
2021-06-26,216,"Sat"
2021-06-27,263,"Sun"
2021-06-28,2900,"Mon"
2021-06-29,2617,"Tue"
2021-06-30,2509,"Wed"
2021-07-01,2916,"Thu"
2021-07-02,2033,"Fri"
2021-07-03,391,"Sat"
2021-07-04,403,"Sun"
2021-07-05,3329,"Mon"
2021-07-06,2490,"Tue"
2021-07-07,2350,"Wed"
2021-07-08,2557,"Thu"
2021-07-09,2857,"Fri"
2021-07-10,65,"Sat"
2021-07-11,0,NA
2021-07-12,2306,"Mon"
2021-07-13,2558,"Tue"
2021-07-14,2201,"Wed"
2021-07-15,2851,"Thu"
2021-07-16,2245,"Fri"
2021-07-17,198,"Sat"
2021-07-18,225,"Sun"
2021-07-19,3013,"Mon"
2021-07-20,2494,"Tue"
2021-07-21,2065,"Wed"
2021-07-22,2731,"Thu"
2021-07-23,2685,"Fri"
2021-07-24,266,"Sat"
