"date","ni","day"
2021-12-09,2285,"Thu"
2021-12-10,2696,"Fri"
2021-12-11,270,"Sat"
2021-12-12,270,"Sun"
2021-12-13,3139,"Mon"
2021-12-14,3009,"Tue"
2021-12-15,2458,"Wed"
2021-12-16,1827,"Thu"
2021-12-17,2231,"Fri"
2021-12-18,246,"Sat"
2021-12-19,245,"Sun"
2021-12-20,2451,"Mon"
2021-12-21,2508,"Tue"
2021-12-22,2639,"Wed"
2021-12-23,1978,"Thu"
2021-12-24,1224,"Fri"
2021-12-25,118,"Sat"
2021-12-26,152,"Sun"
2021-12-27,359,"Mon"
2021-12-28,463,"Tue"
2021-12-29,2510,"Wed"
2021-12-30,1779,"Thu"
2021-12-31,1258,"Fri"
