"month","Class","n","Class.name"
Dec 2020,4662,10,"Wholesale of machine tools"
Dec 2020,4663,1,"Wholesale of mining, construction and civil engineering machinery"
Dec 2020,4664,2,"Wholesale of machinery for the textile industry and of sewing and knitting machines"
Dec 2020,4665,7,"Wholesale of office furniture"
Dec 2020,4666,3,"Wholesale of other office machinery and equipment"
Dec 2020,4669,33,"Wholesale of other machinery and equipment"
Dec 2020,4671,20,"Wholesale of solid, liquid and gaseous fuels and related products"
Dec 2020,4672,15,"Wholesale of metals and metal ores"
Dec 2020,4673,23,"Wholesale of wood, construction materials and sanitary equipment"
Dec 2020,4674,23,"Wholesale of hardware, plumbing and heating equipment and supplies"
Dec 2020,4675,12,"Wholesale of chemical products"
Dec 2020,4676,30,"Wholesale of other intermediate products"
Dec 2020,4677,17,"Wholesale of waste and scrap"
Dec 2020,4690,401,"Non-specialised wholesale trade"
Dec 2020,4711,321,"Retail sale in non-specialised stores with food, beverages or tobacco predominating"
Dec 2020,4719,603,"Other retail sale in non-specialised stores"
Dec 2020,4721,41,"Retail sale of fruit and vegetables in specialised stores"
Dec 2020,4722,30,"Retail sale of meat and meat products in specialised stores"
Dec 2020,4723,10,"Retail sale of fish, crustaceans and molluscs in specialised stores"
Dec 2020,4724,82,"Retail sale of bread, cakes, flour confectionery and sugar confectionery in specialised stores"
Dec 2020,4725,40,"Retail sale of beverages in specialised stores"
Dec 2020,4726,18,"Retail sale of tobacco products in specialised stores"
Dec 2020,4729,143,"Other retail sale of food in specialised stores"
Dec 2020,4730,12,"Retail sale of automotive fuel in specialised stores"
Dec 2020,4741,66,"Retail sale of computers, peripheral units and software in specialised stores"
Dec 2020,4742,97,"Retail sale of telecommunications equipment in specialised stores"
Dec 2020,4743,12,"Retail sale of audio and video equipment in specialised stores"
Dec 2020,4751,52,"Retail sale of textiles in specialised stores"
Dec 2020,4752,24,"Retail sale of hardware, paints and glass in specialised stores"
Dec 2020,4753,29,"Retail sale of carpets, rugs, wall and floor coverings in specialised stores"
Dec 2020,4754,35,"Retail sale of electrical household appliances in specialised stores"
Dec 2020,4759,108,"Retail sale of furniture, lighting equipment and other household articles in specialised stores"
Dec 2020,4761,31,"Retail sale of books in specialised stores"
Dec 2020,4762,10,"Retail sale of newspapers and stationery in specialised stores"
Dec 2020,4763,19,"Retail sale of music and video recordings in specialised stores"
Dec 2020,4764,157,"Retail sale of sporting equipment in specialised stores"
Dec 2020,4765,83,"Retail sale of games and toys in specialised stores"
Dec 2020,4771,506,"Retail sale of clothing in specialised stores"
Dec 2020,4772,41,"Retail sale of footwear and leather goods in specialised stores"
Dec 2020,4773,27,"Dispensing chemist in specialised stores"
Dec 2020,4774,41,"Retail sale of medical and orthopaedic goods in specialised stores"
Dec 2020,4775,151,"Retail sale of cosmetic and toilet articles in specialised stores"
Dec 2020,4776,93,"Retail sale of flowers, plants, seeds, fertilisers, pet animals and pet food in specialised stores"
Dec 2020,4777,97,"Retail sale of watches and jewellery in specialised stores"
Dec 2020,4778,184,"Other retail sale of new goods in specialised stores"
Dec 2020,4779,56,"Retail sale of second-hand goods in stores"
Dec 2020,4781,39,"Retail sale via stalls and markets of food, beverages and tobacco products"
Dec 2020,4782,82,"Retail sale via stalls and markets of textiles, clothing and footwear"
Dec 2020,4789,58,"Retail sale via stalls and markets of other goods"
Dec 2020,4791,3339,"Retail sale via mail order houses or via Internet"
Dec 2020,4799,931,"Other retail sale not in stores, stalls or markets"
Jan 2021,4511,606,"Sale of cars and light motor vehicles"
Jan 2021,4519,146,"Sale of other motor vehicles"
Jan 2021,4520,501,"Maintenance and repair of motor vehicles"
Jan 2021,4531,66,"Wholesale trade of motor vehicle parts and accessories"
Jan 2021,4532,151,"Retail trade of motor vehicle parts and accessories"
Jan 2021,4540,25,"Sale, maintenance and repair of motorcycles and related parts and accessories"
Jan 2021,4611,30,"Agents involved in the sale of agricultural raw materials, live animals, textile raw materials and semi-finished goods"
Jan 2021,4612,17,"Agents involved in the sale of fuels, ores, metals and industrial chemicals"
Jan 2021,4613,41,"Agents involved in the sale of timber and building materials"
Jan 2021,4614,26,"Agents involved in the sale of machinery, industrial equipment, ships and aircraft"
Jan 2021,4615,100,"Agents involved in the sale of furniture, household goods, hardware and ironmongery"
