"date","ni","day"
2021-04-14,1565,"Wed"
2021-04-15,1499,"Thu"
2021-04-16,1332,"Fri"
2021-04-17,0,NA
2021-04-18,0,NA
2021-04-19,1691,"Mon"
2021-04-20,1062,"Tue"
2021-04-21,1240,"Wed"
2021-04-22,1021,"Thu"
2021-04-23,1175,"Fri"
2021-04-24,0,NA
2021-04-25,0,NA
2021-04-26,1635,"Mon"
2021-04-27,1532,"Tue"
2021-04-28,1432,"Wed"
2021-04-29,1304,"Thu"
2021-04-30,1045,"Fri"
2021-05-01,0,NA
2021-05-02,0,NA
2021-05-03,1019,"Mon"
2021-05-04,1670,"Tue"
2021-05-05,1235,"Wed"
2021-05-06,1098,"Thu"
2021-05-07,1037,"Fri"
2021-05-08,0,NA
2021-05-09,0,NA
2021-05-10,1340,"Mon"
2021-05-11,1684,"Tue"
2021-05-12,1320,"Wed"
2021-05-13,1334,"Thu"
2021-05-14,1994,"Fri"
2021-05-15,120,"Sat"
2021-05-16,846,"Sun"
2021-05-17,1376,"Mon"
2021-05-18,1115,"Tue"
2021-05-19,1086,"Wed"
2021-05-20,1279,"Thu"
2021-05-21,1010,"Fri"
2021-05-22,0,NA
2021-05-23,0,NA
2021-05-24,1473,"Mon"
2021-05-25,1140,"Tue"
2021-05-26,1302,"Wed"
2021-05-27,1213,"Thu"
2021-05-28,1148,"Fri"
2021-05-29,0,NA
2021-05-30,0,NA
2021-05-31,674,"Mon"
